시도,지자체,법규위반,발생건수,대형사고,중대한사고(여객),중대한사고(화물),사망자수,치사율(%),연도
경기,화성시,중앙선침범,127,0,0,1,3,2.36,2024
경기,화성시,신호위반,503,0,0,7,1,0.2,2024
경기,화성시,안전거리미확보,385,0,0,4,0,0.0,2024
경기,화성시,불법유턴,19,0,0,1,0,0.0,2024
경기,화성시,과속,16,0,0,0,2,12.5,2024
경기,화성시,안전운전불이행,2104,1,1,25,29,1.38,2024
경기,화성시,교차로운행방법위반,180,0,0,3,1,0.56,2024
경기,화성시,보행자보호의무위반,108,0,0,1,0,0.0,2024
경기,화성시,차로위반,32,0,0,0,0,0.0,2024
경기,화성시,직진우회전진행방해,44,0,0,0,0,0.0,2024
경기,화성시,기타,193,0,0,0,2,1.04,2024
,,소계,3711,1,1,42,38,,2024
